comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
shallow_convnet_vs_riemann_tslr,3.637830294922286,0.0066096827127341,1.2126100961515207,0.0,0.00390625,6.820436507936508,9,0.0925355579782779,0.05859375
shallow_convnet_vs_eegnet,1.7874827550129817,0.1116678991914243,0.5958275829536075,6.5,0.1171875,1.7311507936507933,9,0.7816752943399707,0.8203125
shallow_convnet_vs_tiny_transformer,3.453689318628175,0.0086477100392964,1.1512297710295725,2.0,0.01171875,7.177579365079367,9,0.1124202305108535,0.12890625
shallow_convnet_vs_cfc,3.859167807426797,0.0048145918381255,1.2863892669314827,0.0,0.00390625,7.485119047619047,9,0.0722188775718837,0.05859375
shallow_convnet_vs_lstm,3.4248323693734077,0.0090233662686572,1.1416107879678166,0.0,0.00390625,7.14781746031746,9,0.1124202305108535,0.05859375
riemann_tslr_vs_eegnet,-2.4499139335808486,0.0399420906167679,-0.8166379765498876,5.0,0.0390625,-5.089285714285714,9,0.3994209061676798,0.390625
riemann_tslr_vs_tiny_transformer,0.2860997420210995,0.7820704981271868,0.0953665804190458,17.0,0.546875,0.3571428571428588,9,1.0,1.0
riemann_tslr_vs_cfc,1.0807505986589403,0.3113084033274589,0.360250197600466,11.0,0.3671875,0.6646825396825393,9,1.0,1.0
riemann_tslr_vs_lstm,0.2605649455114564,0.8010095074897375,0.0868549816067237,21.0,0.90625,0.3273809523809529,9,1.0,1.0
eegnet_vs_tiny_transformer,2.229956523421475,0.0563008016866705,0.7433188401260235,7.0,0.07421875,5.446428571428573,9,0.5067072151800351,0.59375
eegnet_vs_cfc,2.992420136673166,0.017270092413653,0.9974733771618955,1.0,0.0078125,5.753968253968254,9,0.189971016550184,0.09375
eegnet_vs_lstm,2.193487611169909,0.059596034375661,0.7311625360696851,5.5,0.04296875,5.416666666666668,9,0.5067072151800351,0.390625
tiny_transformer_vs_cfc,0.1802605508452592,0.8614305746175765,0.0600868501643559,20.0,0.8203125,0.3075396825396805,9,1.0,1.0
tiny_transformer_vs_lstm,-0.0211530687693856,0.9836416304447808,-0.0070510229064236,22.0,1.0,-0.0297619047619058,9,1.0,1.0
cfc_vs_lstm,-0.2222513003176537,0.8296871930463899,-0.0740837666098361,20.5,0.84765625,-0.3373015873015864,9,1.0,1.0
