perturbation_type,level,comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
band_limited_noise,0.0,cfc_vs_gru,-2.700278968849223,0.0270623418375251,-0.9000929884379825,3.0,0.0390625,-6.875,9,0.2859330350121356,0.4296875
band_limited_noise,0.0,cfc_vs_eegnet,1.8508205448816395,0.1013489349445145,0.616940179322179,4.0,0.109375,1.6512345679012346,9,0.810791479556116,0.875
band_limited_noise,0.0,cfc_vs_shallow_convnet,-1.34494774894104,0.2155232015039733,-0.4483159155361296,7.0,0.1484375,-2.584876543209877,9,1.0,0.890625
band_limited_noise,0.0,cfc_vs_riemann_tslr,1.6704964512137404,0.1333680609931235,0.5568321488995599,6.0,0.109375,2.060185185185185,9,0.9335764269518648,0.875
band_limited_noise,5.0,cfc_vs_gru,-0.8445232298541164,0.4229118045020135,-0.2815077427762718,15.0,0.42578125,-1.5586419753086431,9,1.0,0.890625
band_limited_noise,5.0,cfc_vs_eegnet,1.3908966848671525,0.2017208124071118,0.4636322275559417,10.0,0.1640625,2.932098765432096,9,1.0,0.890625
band_limited_noise,5.0,cfc_vs_shallow_convnet,-2.7263055055297003,0.0259939122738305,-0.9087685006886328,5.0,0.0390625,-7.152777777777781,9,0.2859330350121356,0.4296875
band_limited_noise,5.0,cfc_vs_riemann_tslr,3.068898233060282,0.0153735851556142,1.022966076796858,2.0,0.01171875,11.759259259259256,9,0.1844830218673705,0.1640625
band_limited_noise,10.0,cfc_vs_gru,1.215407594798123,0.2588587503578174,0.4051358642958243,12.0,0.25,2.577160493827159,9,1.0,0.890625
band_limited_noise,10.0,cfc_vs_eegnet,-0.7133465612868067,0.495910882014149,-0.2377821867217434,18.0,0.65234375,-1.5123456790123484,9,1.0,0.890625
band_limited_noise,10.0,cfc_vs_shallow_convnet,-3.259484767896549,0.0115361764423521,-1.0864949213730135,4.0,0.02734375,-9.375,9,0.1615064701929296,0.328125
band_limited_noise,10.0,cfc_vs_riemann_tslr,3.124117402364205,0.0141404098707862,1.0413724666913151,3.0,0.01953125,14.205246913580249,9,0.1838253283202215,0.25390625
band_limited_noise,20.0,cfc_vs_gru,1.4233577453915258,0.1924396528873574,0.4744525811474283,11.0,0.203125,3.464506172839505,9,1.0,0.890625
band_limited_noise,20.0,cfc_vs_eegnet,-2.6473695985587766,0.0293754476117938,-0.8824565313260974,5.0,0.0390625,-5.100308641975311,9,0.2859330350121356,0.4296875
band_limited_noise,20.0,cfc_vs_shallow_convnet,-6.321442523755788,0.0002274765028899,-2.107147504975204,1.0,0.0078125,-15.08487654320988,9,0.0036396240462398,0.125
band_limited_noise,20.0,cfc_vs_riemann_tslr,-4.014841640034116,0.0038688602257433,-1.3382805449887158,1.0,0.0078125,-10.601851851851857,9,0.05803290338615,0.125
channel_dropout,0.1,cfc_vs_gru,1.3074760802656034,0.2273738622723727,0.435825359115542,12.5,0.26171875,1.9521604938271608,9,0.4565189942522227,0.4921875
channel_dropout,0.1,cfc_vs_eegnet,-1.7704591296155814,0.1146058916238447,-0.590153041643354,11.0,0.203125,-2.2299382716049414,9,0.4565189942522227,0.4921875
channel_dropout,0.1,cfc_vs_shallow_convnet,-5.608525351726672,0.0005052003865045,-1.869508446847492,0.0,0.00390625,-9.375000000000004,9,0.006062404638054,0.046875
channel_dropout,0.1,cfc_vs_riemann_tslr,2.960353875950116,0.0181364049868887,0.9867846242508505,5.0,0.0390625,9.1358024691358,9,0.1450912398951097,0.234375
channel_dropout,0.3,cfc_vs_gru,2.059882415287338,0.0733733986558569,0.6866274706923783,7.0,0.07421875,4.405864197530865,9,0.3668669932792847,0.37109375
channel_dropout,0.3,cfc_vs_eegnet,-1.7252322670087377,0.1227671631975552,-0.5750774201715722,10.0,0.1640625,-1.527777777777775,9,0.4565189942522227,0.4921875
channel_dropout,0.3,cfc_vs_shallow_convnet,-4.942198338369792,0.0011319297704599,-1.6473994409279218,0.0,0.00390625,-5.223765432098765,9,0.0124512274750589,0.046875
channel_dropout,0.3,cfc_vs_riemann_tslr,2.785543163728259,0.023720823293601,0.9285143867118504,4.0,0.02734375,7.199074074074074,9,0.1450912398951097,0.19140625
channel_dropout,0.5,cfc_vs_gru,1.7731899975612386,0.1141297485630556,0.5910633312867202,5.5,0.0859375,2.831790123456792,9,0.4565189942522227,0.37109375
channel_dropout,0.5,cfc_vs_eegnet,-3.4160602652108047,0.0091409565843465,-1.1386867520855375,0.0,0.0078125,-4.344135802469135,9,0.082268609259119,0.0703125
channel_dropout,0.5,cfc_vs_shallow_convnet,-3.547469306380608,0.0075372215854164,-1.1824897651908053,0.0,0.00390625,-3.881172839506173,9,0.0753722158541648,0.046875
channel_dropout,0.5,cfc_vs_riemann_tslr,2.931275832738189,0.0189610837534903,0.977091941933348,3.0,0.01953125,4.128086419753085,9,0.1450912398951097,0.15625
