model,model_display,params,accuracy_mean,accuracy_std,f1_mean,f1_std
shallow_convnet,Shallow ConvNet,40604,68.75345660503082,16.895533748215765,0.6857456055495704,0.1704698119984263
riemann_tslr,Riemann-TSLR,1016,68.26903215059137,14.78783912608379,0.6811924648075092,0.1489598972032799
mi_mamba,MI-Mamba-style,298740,59.04447776111944,18.98575530117035,0.5751091637069251,0.1946753793499639
eegnet,EEGNet,2420,55.819756788272535,19.93292164809839,0.5390865214728515,0.2046752131940069
hybrid_cfc,Hybrid-CfC-style,86964,52.92936864900883,18.544206074921515,0.5179569012073623,0.1929486684485777
tiny_transformer,Tiny-Transformer,101124,51.89188738963851,15.10721610570726,0.5041758335065456,0.1600615241474663
cfc,CfC-style,86788,49.39613526570049,16.6584972789272,0.4744162420832063,0.1784857702111443
ss_head,SpatialSpectral-Head,36604,47.47492920206562,18.33140670456345,0.456074860092843,0.1940059510501469
lstm,LSTM,210948,42.40063301682492,13.417876748900966,0.3958164393818467,0.1507778226479458
ss_cfc,SpatialSpectral-CfC,125372,42.05397301349325,14.49878670588864,0.397710568196121,0.1597465113953959
