dt,tau_init,model,accuracy_mean,accuracy_std,f1_mean,f1_std
0.5,0.5,cfc,44.67592592592593,12.309260399776512,0.41797058738686976,0.1287879885001934
0.5,0.5,hybrid_cfc,47.53086419753086,15.342198112063603,0.45771138591857125,0.15798688909319253
0.5,0.5,ss_cfc,37.808641975308646,11.331958355832697,0.3278013869652852,0.13975121922957132
0.5,1.0,cfc,42.51543209876543,13.681294827114627,0.38901585631966507,0.1528278267314577
0.5,1.0,hybrid_cfc,48.263888888888886,13.744913481173256,0.4655326275855091,0.13581394525285032
0.5,1.0,ss_cfc,38.46450617283951,11.30977158095184,0.3384819469385225,0.14299470819021715
0.5,2.0,cfc,41.31944444444444,15.612456384800053,0.3853557692786031,0.163674954608731
0.5,2.0,hybrid_cfc,52.237654320987644,15.930757537171978,0.509578516959904,0.16218733974587735
0.5,2.0,ss_cfc,38.96604938271605,9.912233269979629,0.36818019164223226,0.1038765426791874
1.0,0.5,cfc,42.74691358024691,11.461547902994928,0.3766482810976808,0.12740621079868433
1.0,0.5,hybrid_cfc,42.97839506172839,14.481474821207145,0.41488543818750145,0.1499380517972502
1.0,0.5,ss_cfc,36.61265432098766,10.108448034438917,0.32224016984851944,0.12245711606086672
1.0,1.0,cfc,45.44753086419753,16.152780431620858,0.41919801665960954,0.18192466646439762
1.0,1.0,hybrid_cfc,44.94598765432099,15.036276934697874,0.4285160943636162,0.15618634871304604
1.0,1.0,ss_cfc,39.120370370370374,12.542126160525703,0.35959470428009827,0.14151990922597235
1.0,2.0,cfc,40.66358024691358,14.135659793103086,0.38097276098803384,0.14895750451730827
1.0,2.0,hybrid_cfc,48.84259259259259,13.758064413999273,0.47175882937403835,0.14503138957709522
1.0,2.0,ss_cfc,38.42592592592592,10.103808699271848,0.35052284835686326,0.12154182420020308
2.0,0.5,cfc,45.60185185185185,13.105051713031681,0.4191588555416897,0.15579378441601763
2.0,0.5,hybrid_cfc,40.123456790123456,11.663141093549301,0.39185572228276466,0.11811725530602367
2.0,0.5,ss_cfc,34.79938271604939,9.792925232135431,0.31200991774137576,0.11079313658424567
2.0,1.0,cfc,44.714506172839506,12.809368239487354,0.4078609018729298,0.15201032852926
2.0,1.0,hybrid_cfc,42.9783950617284,14.226345076907718,0.40909105037006743,0.14801164888443644
2.0,1.0,ss_cfc,37.57716049382716,9.85428928529319,0.33628038685621137,0.10824332550551843
2.0,2.0,cfc,45.138888888888886,14.875949886674942,0.42744661902497516,0.15515996519713768
2.0,2.0,hybrid_cfc,45.370370370370374,14.36782731680596,0.43469057180026405,0.1405185631890094
2.0,2.0,ss_cfc,36.72839506172839,11.626472824012595,0.32949447251054786,0.13774655769659241
