heldout_subject,subject,validation_subject,variant,model,accuracy,f1,best_c,best_val_accuracy
1,1,7,standard,riemann_tslr,44.09722222222222,0.3542975163457642,0.1,29.34027777777778
1,1,7,euclidean_alignment,riemann_tslr,57.29166666666666,0.5647990916553733,1.0,41.49305555555556
2,2,8,standard,riemann_tslr,26.90972222222222,0.2405381557797395,0.1,39.23611111111111
2,2,8,euclidean_alignment,riemann_tslr,29.86111111111111,0.2965792303630571,0.1,68.05555555555556
3,3,9,standard,riemann_tslr,35.24305555555556,0.2921526217657488,10.0,42.36111111111111
3,3,9,euclidean_alignment,riemann_tslr,65.27777777777779,0.6499468427872841,0.1,48.78472222222222
4,4,1,standard,riemann_tslr,34.02777777777778,0.2887906961039622,0.1,51.04166666666666
4,4,1,euclidean_alignment,riemann_tslr,46.35416666666667,0.459840609674144,0.1,60.9375
5,5,2,standard,riemann_tslr,25.86805555555556,0.1251292155182315,10.0,28.29861111111111
5,5,2,euclidean_alignment,riemann_tslr,30.55555555555556,0.2819537288362228,0.1,26.5625
6,6,3,standard,riemann_tslr,28.64583333333333,0.2088024424286742,0.1,43.57638888888889
6,6,3,euclidean_alignment,riemann_tslr,40.27777777777778,0.4015747002098043,0.1,67.53472222222221
7,7,4,standard,riemann_tslr,33.68055555555556,0.3253823014283197,10.0,35.06944444444444
7,7,4,euclidean_alignment,riemann_tslr,43.92361111111111,0.427184927398379,0.1,43.92361111111111
8,8,5,standard,riemann_tslr,42.1875,0.3613306764353338,10.0,25.694444444444443
8,8,5,euclidean_alignment,riemann_tslr,63.888888888888886,0.641267744207014,0.1,32.29166666666667
9,9,6,standard,riemann_tslr,36.80555555555556,0.3033754812251205,0.1,26.21527777777778
9,9,6,euclidean_alignment,riemann_tslr,53.645833333333336,0.5365589323065386,10.0,38.88888888888889
