subject,class_name,tau_mean,mu_power,beta_power,correct
1,feet,1.528123688366678,2.566322219868501,0.7845391457279524,0.3055555555555556
1,left_hand,1.2666062629885144,1.6444193588362799,0.7392850439581606,0.4583333333333333
1,right_hand,1.1585368000798755,1.6165987658831809,0.7411172369288074,0.4444444444444444
1,tongue,1.5707706759373348,2.8833060231473713,0.8066682919032044,0.7222222222222222
2,feet,1.6698646561967,3.338826470077038,2.316069805787669,0.4166666666666667
2,left_hand,1.6719234155284033,3.6098025490840278,3.1153778748379812,0.375
2,right_hand,1.6697359449333615,3.43773744503657,2.161486426161395,0.19444444444444445
2,tongue,1.6744839118586645,2.9706215312083564,2.1226020579536757,0.3611111111111111
3,feet,1.6901030557023153,5.266749766137865,1.0378847453329298,0.4166666666666667
3,left_hand,1.5926385439104505,3.351179330713219,0.959583816015058,0.625
3,right_hand,1.4355332718955145,3.794040583901935,1.0102288673321407,0.8472222222222222
3,tongue,1.7756364163425233,6.8683478732903795,1.1352949142456055,0.6944444444444444
4,feet,1.371660182873408,2.923724447687467,0.814838658604357,0.013888888888888888
4,left_hand,1.425874799489975,1.6027200180623267,0.6225595751570331,0.7222222222222222
4,right_hand,1.4196722292237811,1.7228326714701123,0.6274979218012757,0.16666666666666666
4,tongue,1.3794584290848837,2.6391648832294674,0.8366241715848446,0.7638888888888888
5,feet,1.3713900811142392,0.9550680629909039,0.7047948779331313,0.09722222222222222
5,left_hand,1.374913622935613,0.9421870915426148,0.7481628416313065,0.4166666666666667
5,right_hand,1.3759474323855505,0.9533681141005622,0.7339476442171468,0.20833333333333334
5,tongue,1.3708015779654186,0.9516693337096108,0.7526514906850126,0.4027777777777778
6,feet,1.511729942427741,5.48472220202287,0.8328540602491962,0.5277777777777778
6,left_hand,1.5275154146883223,4.523840179045995,0.7202973324391577,0.2916666666666667
6,right_hand,1.5345874859227076,4.928243337406053,0.7566603819529215,0.3055555555555556
6,tongue,1.5266355474789937,4.626663699746132,0.7324434262182977,0.3888888888888889
7,feet,1.5769412948025598,2.3011222688688173,0.6401129273904694,0.375
7,left_hand,1.6015017049180136,2.3065141605006323,0.6331230824192365,0.1111111111111111
7,right_hand,1.6031096428632736,2.2347655875815287,0.6465102281007502,0.16666666666666666
7,tongue,1.504061394267612,2.7552337563700147,0.7517708908352587,0.75
8,feet,1.524520355794165,6.2544972813791695,1.7181344752510388,0.3055555555555556
8,left_hand,1.472513543234931,5.817929585774739,1.686118917332755,0.8611111111111112
8,right_hand,1.5356819563441806,6.672515501578649,1.7303645354178216,0.6527777777777778
8,tongue,1.5787228345870972,10.095873647265964,1.8022285401821136,0.5972222222222222
9,feet,2.433510964115461,13.14133804374271,0.912219094319476,0.25
9,left_hand,2.150101042456097,7.685649540689257,0.6180404975182481,0.7777777777777778
9,right_hand,2.433586855729421,12.69654616382387,0.8283436136941115,0.25
9,tongue,2.1625296804640026,20.52640465895335,1.1014652111464076,0.9722222222222222
